year_id,survey_id,reference_year,release_date
177,86,2018,2019-05-22
178,87,2017,2018-04-06
179,88,2016,2017-07-15
180,88,2017,2018-12-20
181,88,2015,2016-08-10
182,89,2018,2019-05-23
183,90,2022,2023-11-08
184,90,2016,2017-05-26
185,91,2018,2019-09-08
186,91,2021,2022-11-05
187,91,2015,2016-05-27
188,92,2016,2017-01-06
189,93,2019,2020-02-15
190,93,2022,2023-12-10
191,94,2021,2022-09-16
192,94,2019,2020-08-03
193,94,2022,2023-10-02
194,95,2020,2021-01-03
195,95,2019,2020-04-22
196,96,2015,2016-01-25
197,96,2019,2020-03-16
198,96,2022,2023-09-21
199,97,2019,2020-10-14
200,97,2017,2018-11-27
201,98,2016,2017-06-14
202,98,2022,2023-06-11
203,99,2016,2017-07-23
204,99,2017,2018-08-10
205,99,2022,2023-11-13
206,100,2015,2016-06-09
207,100,2022,2023-06-04
208,100,2023,2024-07-28
