survey_id,survey_name,survey_type,frequency,sponsor_agency
71,Annual Retail Trade Survey 71,Decennial,Decennial,Federal Reserve Board
72,Annual Business Survey 72,Quinquennial,Quarterly,Bureau of Economic Analysis
73,Annual Capital Expenditure Survey 73,Quarterly,Quarterly,Federal Reserve Board
74,Business Expenditures Survey 74,Quinquennial,Monthly,IRS Statistics of Income
75,Annual Survey of Manufactures 75,Quinquennial,Annual,Bureau of Labor Statistics
76,Service Annual Survey 76,Monthly,Quinquennial,IRS Statistics of Income
77,Economic Census 77,Monthly,Monthly,U.S. Census Bureau
78,Quarterly Financial Report 78,Annual,Annual,IRS Statistics of Income
79,Business R&D and Innovation Survey 79,Decennial,Annual,Small Business Administration
80,Statistics of U.S. Businesses 80,Quinquennial,Biennial,Federal Reserve Board
81,County Business Patterns 81,Quinquennial,Monthly,Bureau of Economic Analysis
82,Survey of Business Owners 82,Decennial,Monthly,Small Business Administration
83,Annual Retail Trade Survey 83,Annual,Monthly,Bureau of Labor Statistics
84,Annual Business Survey 84,Annual,Decennial,U.S. Census Bureau
85,Annual Capital Expenditure Survey 85,Annual,Biennial,Bureau of Economic Analysis
86,Business Expenditures Survey 86,Monthly,Monthly,Federal Reserve Board
87,Annual Survey of Manufactures 87,Quinquennial,Monthly,U.S. Census Bureau
88,Service Annual Survey 88,Quinquennial,Monthly,U.S. Census Bureau
89,Economic Census 89,Monthly,Quinquennial,Federal Reserve Board
90,Quarterly Financial Report 90,Decennial,Monthly,Federal Reserve Board
91,Business R&D and Innovation Survey 91,Quinquennial,Biennial,National Science Foundation
92,Statistics of U.S. Businesses 92,Quinquennial,Annual,U.S. Census Bureau
93,County Business Patterns 93,Decennial,Annual,U.S. Census Bureau
94,Survey of Business Owners 94,Quarterly,Monthly,Bureau of Economic Analysis
95,Annual Retail Trade Survey 95,Annual,Quarterly,Bureau of Labor Statistics
96,Annual Business Survey 96,Quinquennial,Annual,Bureau of Labor Statistics
97,Annual Capital Expenditure Survey 97,Quinquennial,Monthly,Bureau of Labor Statistics
98,Business Expenditures Survey 98,Quarterly,Biennial,U.S. Census Bureau
99,Annual Survey of Manufactures 99,Quarterly,Annual,IRS Statistics of Income
100,Service Annual Survey 100,Quarterly,Quarterly,Department of Commerce
